"Country","Today Confirmed","Today Recovered","Today Deaths","Total Confirmed","Total Recovered","Total Deaths","Population"
"Afghanistan","279","202","38","32951","19366","864","38742911"
"Albania","74","20","2","2893","1657","76","2878420"
"Algeria","441","311","6","15941","11492","952","43685618"
"Andorra","0","0","0","855","800","52","77240"
"Angola","0","0","0","346","108","19","32644783"
"Antigua and Barbuda","0","0","0","68","23","3","97764"
"Argentina","2439","1667","26","77815","27597","1507","45111229"
"Armenia","706","205","7","28606","16140","484","2962137"
"Australia","140","21","2","8583","7420","106","25439164"
"Austria","115","8","1","18280","16615","706","8996022"
"Azerbaijan","523","451","9","20324","11742","250","10120555"
"Bahamas","0","0","0","104","89","11","392477"
"Bahrain","510","690","1","29367","24649","97","1688629"
"Bangladesh","2738","1904","55","162417","72625","2052","164354176"
"Barbados","1","0","0","98","90","7","287305"
"Belarus","284","202","5","63554","50871","423","9449940"
"Belgium","178","0","0","62016","17091","9771","11579477"
"Belize","0","0","0","30","19","2","396120"
"Benin","0","0","0","1199","333","21","12055347"
"Bhutan","2","2","0","80","53","0","769867"
"Bolivia","1226","395","56","39297","11667","1434","11640159"
"Bosnia and Herzegovina","0","0","0","4962","2550","191","3284806"
"Botswana","0","0","0","277","29","1","2341649"
"Brazil","26051","38314","602","1603055","1029045","64867","212253150"
"Brunei","0","0","0","141","138","3","436624"
"Bulgaria","63","17","5","5740","2915","246","6958627"
"Burkina Faso","0","0","0","987","854","53","20780371"
"Burma","0","1","0","313","241","6","54335948"
"Burundi","0","0","0","191","118","1","11814346"
"Cabo Verde","30","1","1","1451","655","17","554750"
"Cambodia","0","0","0","141","131","0","16671185"
"Cameroon","0","0","0","12592","10100","313","26405174"
"Canada","209","265","7","107394","70772","8739","37674770"
"Central African Republic","0","0","0","3969","914","48","4812256"
"Chad","1","0","0","872","787","74","16324440"
"Chile","3685","3588","116","295532","261039","6308","19082804"
"China","14","12","0","84871","79718","4641","1438207241"
"Colombia","3892","1234","177","113685","46643","4178","50771878"
"Comoros","2","25","0","311","266","7","865696"
"Congo (Brazzaville)","0","0","0","1557","501","44","5489191"
"Congo (Kinshasa)","32","223","0","7411","3184","182","88972681"
"Costa Rica","375","24","1","4996","1745","19","5084636"
"Cote d'Ivoire","310","260","2","10772","5067","74","26239250"
"Croatia","57","13","0","3151","2196","113","4110214"
"Cuba","3","2","0","2372","2229","86","11327988"
"Cyprus","1","0","0","1003","839","19","1205577"
"Czechia","75","12","-3","12515","7864","348","10705012"
"Denmark","1","0","0","13033","12017","606","5788108"
"Djibouti","56","13","0","4792","4593","55","985027"
"Dominica","0","0","0","18","18","0","71950"
"Dominican Republic","1241","341","8","37425","18943","794","10825682"
"Ecuador","423","215","12","61958","28722","4781","17587526"
"Egypt","1218","623","63","75253","20726","3343","101930276"
"El Salvador","270","139","7","7777","4573","217","6479609"
"Equatorial Guinea","0","0","0","3071","842","51","1392950"
"Eritrea","0","0","0","215","56","0","3536285"
"Estonia","0","4","0","1993","1874","69","1326357"
"Eswatini","34","12","0","988","547","13","1157707"
"Ethiopia","0","0","0","5846","2430","103","114357494"
"Fiji","1","0","0","19","18","0","895128"
"Finland","5","0","0","7253","6700","329","5539002"
"France","0","0","0","204222","77185","29896","65244628"
"Gabon","0","0","0","5620","2555","44","2214593"
"Gambia","0","0","0","57","27","2","2402083"
"Georgia","3","3","0","951","828","15","3990681"
"Germany","325","719","3","197523","181719","9023","83730223"
"Ghana","697","540","5","20085","14870","122","30936375"
"Greece","8","0","0","3519","1374","192","10433037"
"Grenada","0","0","0","23","23","0","112418"
"Guatemala","747","52","27","23248","3382","947","17846248"
"Guinea","40","26","0","5610","4522","34","13056478"
"Guinea-Bissau","0","0","0","1765","676","25","1958132"
"Guyana","1","0","1","273","120","15","785788"
"Haiti","39","141","0","6333","1549","113","11373955"
"Holy See","0","0","0","12","12","0","801"
"Honduras","1022","103","10","23943","2490","639","9871892"
"Hungary","9","27","0","4183","2811","589","9665192"
"Iceland","3","0","0","1863","1833","10","340795"
"India","24248","15350","425","697413","424433","19693","1377233523"
"Indonesia","1607","886","82","63749","29105","3171","272931713"
"Iran","2560","2381","163","240438","201330","11571","83771587"
"Iraq","2125","1940","105","60479","33017","2473","40031626"
"Ireland","18","0","0","25527","23364","1741","4926480"
"Israel","788","134","1","29958","17950","331","8627444"
"Italy","192","164","7","241611","192108","34861","60479424"
"Jamaica","4","15","0","732","584","10","2958567"
"Japan","207","38","0","19668","16870","977","126552765"
"Jordan","14","40","0","1164","942","10","10182442"
"Kazakhstan","1403","304","0","48574","15860","188","18730568"
"Kenya","309","51","1","7886","2287","160","53521116"
"Kuwait","638","520","3","49941","40463","368","4257495"
"Kyrgyzstan","283","88","10","7377","2802","88","6501804"
"Laos","0","0","0","19","19","0","7253719"
"Latvia","1","0","0","1124","1000","30","1890218"
"Lebanon","18","7","1","1873","1311","36","6831445"
"Lesotho","44","0","0","79","11","0","2138799"
"Liberia","5","8","0","874","377","37","5032469"
"Libya","57","3","5","1046","261","32","6852010"
"Liechtenstein","0","0","0","83","81","1","38106"
"Lithuania","5","0","0","1836","1545","79","2729553"
"Luxembourg","46","0","0","4522","4016","110","623861"
"Madagascar","213","30","3","2941","1108","32","27539106"
"Malawi","0","0","0","1613","317","17","19024426"
"Malaysia","5","4","0","8663","8465","121","32280610"
"Maldives","33","73","1","2468","2049","11","538558"
"Mali","27","11","1","2330","1527","119","20125282"
"Malta","0","1","0","672","652","9","441308"
"Mauritania","52","39","1","4879","1844","130","4623535"
"Mauritius","0","0","0","341","330","10","1271347"
"Mexico","4683","4190","273","256848","199914","30639","128655589"
"Moldova","142","322","5","17814","10718","585","4035814"
"Monaco","2","0","0","108","95","4","39186"
"Mongolia","0","3","0","220","188","0","3267320"
"Montenegro","61","0","0","781","315","14","628050"
"Morocco","393","396","3","14215","9725","235","36820713"
"Mozambique","18","0","1","987","256","8","31067362"
"Namibia","37","0","0","412","25","0","2531290"
"Nepal","293","132","0","15784","6547","34","29027347"
"Netherlands","286","0","14","50834","187","6146","17127290"
"New Zealand","1","0","0","1534","1490","22","4814272"
"Nicaragua","0","0","0","2519","1238","83","6608366"
"Niger","6","2","0","1088","965","68","24014064"
"Nigeria","544","203","11","28711","11665","645","205052107"
"North Macedonia","114","40","7","7046","3027","341","2083391"
"Norway","4","0","0","8930","8138","251","5412632"
"Oman","1072","949","10","46178","27917","213","5078933"
"Pakistan","6535","6555","143","231818","131649","4762","219992900"
"Panama","1166","225","27","38149","17986","747","4300667"
"Papua New Guinea","0","0","0","11","8","0","8911530"
"Paraguay","42","32","0","2427","1166","20","7114524"
"Peru","3638","4336","177","302718","193957","10589","32876986"
"Philippines","2424","489","7","44254","11942","1297","109280343"
"Poland","231","619","5","35950","23746","1517","37854825"
"Portugal","328","245","9","43897","29017","1614","10202571"
"Qatar","616","1897","5","99799","92284","128","2870922"
"Romania","391","172","19","28973","20026","1750","19262731"
"Russia","6719","3868","134","680283","449995","10145","145922010"
"Rwanda","13","44","0","1105","567","3","12883878"
"Saint Kitts and Nevis","0","0","0","16","15","0","53123"
"Saint Lucia","0","0","0","22","19","0","183458"
"Saint Vincent and the Grenadines","0","0","0","29","29","0","110869"
"San Marino","0","0","0","698","656","42","33917"
"Sao Tome and Principe","1","1","0","720","268","13","218308"
"Saudi Arabia","3580","1980","58","209509","145236","1916","34701377"
"Senegal","128","157","4","7400","4870","133","16649599"
"Serbia","302","91","5","16131","13267","311","8744288"
"Seychelles","0","0","0","81","11","0","98224"
"Sierra Leone","9","11","0","1542","1062","62","7942879"
"Singapore","136","324","0","44800","40441","26","5840996"
"Slovakia","15","0","0","1764","1466","28","5459116"
"Slovenia","21","0","0","1700","1384","111","2078881"
"Somalia","36","41","0","2997","1014","92","15798020"
"South Africa","8773","2088","173","196750","93315","3199","59154802"
"South Korea","46","16","1","13137","11848","284","51260395"
"South Sudan","0","0","0","2021","333","38","11166783"
"Spain","0","0","0","250545","150376","28385","46751175"
"Sri Lanka","2","18","0","2076","1903","11","21395196"
"Sudan","0","0","0","9767","4673","608","43632213"
"Suriname","29","16","0","594","292","14","585561"
"Sweden","0","0","0","71419","0","5420","10086531"
"Switzerland","70","100","0","32268","29300","1965","8641786"
"Syria","20","3","3","358","126","13","17410293"
"Taiwan*","0","0","0","449","438","7","23808164"
"Tajikistan","54","49","1","6213","4858","53","9492342"
"Tanzania","0","0","0","509","183","21","59368313"
"Thailand","5","5","0","3190","3071","58","69764925"
"Timor-Leste","0","0","0","24","24","0","1313184"
"Togo","4","15","0","680","447","15","8237580"
"Trinidad and Tobago","3","0","0","133","115","8","1398579"
"Tunisia","2","2","0","1188","1048","50","11793319"
"Turkey","1148","1188","19","205758","180680","5225","84153250"
"Uganda","12","23","0","939","891","0","45427637"
"Ukraine","840","224","22","49468","22131","1265","43785122"
"United Arab Emirates","683","440","2","51540","40297","323","9865845"
"United Kingdom","519","0","22","286931","1375","44305","67814098"
"Uruguay","1","9","0","956","849","28","3471314"
"US","49199","12438","271","2888635","906763","129947","330610570"
"Uzbekistan","312","159","3","10020","6584","34","33368859"
"Venezuela","419","0","3","7169","2100","65","28451828"
"Vietnam","0","0","0","355","340","0","97160127"
"Western Sahara","0","0","0","10","8","1","594215"
"Yemen","17","15","1","1265","552","338","29687214"
"Zambia","0","0","0","1632","1348","30","18273379"
"Zimbabwe","18","0","0","716","181","8","14818157"
